file,type,lines,start_line,path
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,python,12,55,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,123,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,129,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,177,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,224,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,242,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-build-rag.md,bash,1,250,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-create-resources.md,bash,1,128,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-create-resources.md,python,12,146,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,bash,1,92,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,bash,2,98,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,python,8,109,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,bash,1,128,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,Text,23,142,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,,2,173,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,,3,179,ai-foundry
articles/ai-foundry/tutorials/copilot-sdk-evaluate.md,bash,1,190,ai-foundry
articles/ai-foundry/responsible-ai/openai/data-privacy.md,json,4,141,ai-foundry
articles/ai-foundry/responsible-ai/openai/data-privacy.md,azurecli,1,152,ai-foundry
articles/ai-foundry/responsible-ai/openai/transparency-note.md,,15,154,ai-foundry
articles/ai-foundry/responsible-ai/openai/transparency-note.md,,5,175,ai-foundry
articles/ai-foundry/responsible-ai/openai/transparency-note.md,,3,185,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,19,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,71,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,116,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,157,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,210,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,251,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,303,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,348,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,390,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,442,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,487,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,529,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,571,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,613,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,659,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,703,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,755,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,799,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,851,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,902,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,953,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,996,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1038,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1080,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1120,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1161,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1203,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1241,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1300,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1342,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1393,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1437,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1479,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1523,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1565,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1603,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1668,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1711,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1753,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1791,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1852,ai-foundry
articles/ai-foundry/reference/foundry-project-rest-preview.md,HTTP,1,1905,ai-foundry
